id;song_title;album_title;year_of_release;month_of_release;type
367;Shake Shake Mama;Together Through Life;2009;4;Original
368;I Feel a Change Comin' On;Together Through Life;2009;4;Original
369;It's All Good;Together Through Life;2009;4;Original
370;Here Comes Santa Claus;Christmas in the Heart;2009;10;Cover
371;Do You Hear What I Hear?;Christmas in the Heart;2009;10;Cover
372;Winter Wonderland;Christmas in the Heart;2009;10;Cover
373;Hark the Herald Angles Sing;Christmas in the Heart;2009;10;Cover
374;I'll Be Home for Christmas;Christmas in the Heart;2009;10;Cover
375;Little Drummer Boy;Christmas in the Heart;2009;10;Cover
376;The Christmas Blues;Christmas in the Heart;2009;10;Cover
377;O' Come All Ye Faithful (Adeste Fideles);Christmas in the Heart;2009;10;Traditional
378;Have Yourself a Merry Little Christmas;Christmas in the Heart;2009;10;Cover
379;Must Be Santa;Christmas in the Heart;2009;10;Cover
380;Silver Bells;Christmas in the Heart;2009;10;Cover
381;The First Noel;Christmas in the Heart;2009;10;Traditional
382;Christmas Island;Christmas in the Heart;2009;10;Cover
383;The Christmas Song;Christmas in the Heart;2009;10;Cover
384;O Little Town of Bethlehem;Christmas in the Heart;2009;10;Traditional
385;Duquesne Whistle;Tempest;2012;9;Original
386;Soon After Midnight;Tempest;2012;9;Original
387;Narrow Way;Tempest;2012;9;Original
388;Long and Wasted Years;Tempest;2012;9;Original
389;Pay in Blood;Tempest;2012;9;Original
390;Scarlet Town;Tempest;2012;9;Original
391;Early Roman Kings;Tempest;2012;9;Original
392;Tin Angel;Tempest;2012;9;Original
393;Tempest;Tempest;2012;9;Original
394;Roll on John;Tempest;2012;9;Original
395;I'm a Fool to Want You;Shadows in the Night;2015;2;Cover
396;The Night We Called it a Day;Shadows in the Night;2015;2;Cover
397;Stay with Me;Shadows in the Night;2015;2;Cover
398;Autumn Leaves;Shadows in the Night;2015;2;Cover
399;Why Try to Change Me Now;Shadows in the Night;2015;2;Cover
400;Some Enchanted Evening;Shadows in the Night;2015;2;Cover
401;Full Moon and Empty Arms;Shadows in the Night;2015;2;Cover
402;Where Are You?;Shadows in the Night;2015;2;Cover
403;What'll I Do;Shadows in the Night;2015;2;Cover
404;That Lucky Old Sun;Shadows in the Night;2015;2;Cover
405;Young at Heart;Fallen Angels;2016;5;Cover
406;Maybe You'll Be There;Fallen Angels;2016;5;Cover
407;Polka Dots and Moonbeams;Fallen Angels;2016;5;Cover
408;All the Way;Fallen Angels;2016;5;Cover
409;Skylark;Fallen Angels;2016;5;Cover
410;Nevertheless (I'm in Love with You);Fallen Angels;2016;5;Cover
411;All or Nothing at All;Fallen Angels;2016;5;Cover
412;On a Little Street in Singapore;Fallen Angels;2016;5;Cover
413;It Had to Be You;Fallen Angels;2016;5;Cover
414;Melancholy Mood;Fallen Angels;2016;5;Cover
415;That Old Black Magic;Fallen Angels;2016;5;Cover
416;Come Rain or Come Shine;Fallen Angels;2016;5;Cover
417;I Guess I'll Have to Change My Plans;Triplicate;2017;3;Cover
418;September of My Years;Triplicate;2017;3;Cover
419;I Could Have Told You;Triplicate;2017;3;Cover
420;Once Upon a Time;Triplicate;2017;3;Cover
421;Stormy Weather;Triplicate;2017;3;Cover
422;This Nearly Was Mine;Triplicate;2017;3;Cover
423;That Old Feeling;Triplicate;2017;3;Cover
424;It Gets Lonely Early;Triplicate;2017;3;Cover
425;My One and Only Love;Triplicate;2017;3;Cover
426;Trade Winds;Triplicate;2017;3;Cover
427;Braggin';Triplicate;2017;3;Cover
428;As Time Goes By;Triplicate;2017;3;Cover
429;Imagination;Triplicate;2017;3;Cover
430;How Deep Is The Ocean;Triplicate;2017;3;Cover
431;P.S. I Love You;Triplicate;2017;3;Cover
432;The Best Is Yet to Come;Triplicate;2017;3;Cover
433;But Beautiful;Triplicate;2017;3;Cover
434;Here's That Rainy Day;Triplicate;2017;3;Cover
435;Where Is the One;Triplicate;2017;3;Cover
436;There's a Flaw in My Flue;Triplicate;2017;3;Cover
437;Day In, Day Out;Triplicate;2017;3;Cover
438;I Couldn't Sleep a Wink Last Night;Triplicate;2017;3;Cover
439;Sentimental Journey;Triplicate;2017;3;Cover
440;Somewhere Along the Way;Triplicate;2017;3;Cover
441;When the World Was Young;Triplicate;2017;3;Cover
442;These Foolish Things;Triplicate;2017;3;Cover
443;You Go to My Head;Triplicate;2017;3;Cover
444;Stardust;Triplicate;2017;3;Cover
445;It's Funny to Everyone but Me;Triplicate;2017;3;Cover
446;Why Was I Born;Triplicate;2017;3;Cover
447;I Contain Multitudes;Rough and Rowdy;2020;6;Original
448;False Prophet;Rough and Rowdy;2020;6;Original
449;My Own Version of You;Rough and Rowdy;2020;6;Original
450;I've Made Up My Mind to Give Myself to You;Rough and Rowdy;2020;6;Original
451;Black Rider;Rough and Rowdy;2020;6;Original
452;Goodbye Jimmy Reed;Rough and Rowdy;2020;6;Original
453;Mother of Muses;Rough and Rowdy;2020;6;Original
454;Crossing the Rubicon;Rough and Rowdy;2020;6;Original
455;Key West (Philosopher Pirate);Rough and Rowdy;2020;6;Original
456;Murder Most Foul;Rough and Rowdy;2020;6;Original
